"SUBJECT" "DIET" "SEQUENCE" "y.Actinobacteria" "y.Bacteroidetes" "y.Firmicutes" "y.Fusobacteria" "y.Proteobacteria" "y.OTHER"
"hugh" "FIBRE" "BCA" 1.533495e-02 2.117030e-01 6.436642e-01 9.725585e-02 3.196126e-02 8.071026e-05
"hugh" "WASHOUT" "BCA" 1.961259e-02 4.503632e-02 5.167070e-01 3.810331e-01 3.728814e-02 3.228411e-04
"hugh" "HYPO" "BCA" 2.276029e-02 2.510089e-02 8.776433e-01 5.609362e-02 1.830194e-02 1.000000e-04
"kernal" "BASE" "BCA" 4.116223e-03 4.213075e-01 3.123487e-01 2.146086e-01 4.753834e-02 8.071033e-05
"kernal" "FIBRE" "BCA" 1.113801e-02 8.442292e-02 5.553672e-01 2.184826e-01 1.304278e-01 1.614205e-04
"kernal" "WASHOUT" "BCA" 3.301049e-02 8.490718e-02 5.848265e-01 2.634383e-01 3.365617e-02 1.614205e-04
"kernal" "HYPO" "BCA" 2.542373e-02 7.586764e-03 7.233253e-01 2.226796e-01 2.066182e-02 3.228410e-04
"mansfield" "BASE" "BCA" 8.071025e-03 3.008071e-01 4.157385e-01 2.383374e-01 3.688458e-02 1.614206e-04
"mansfield" "FIBRE" "BCA" 3.793382e-03 2.300242e-02 4.158192e-01 4.493140e-01 1.079096e-01 1.614205e-04
"mansfield" "WASHOUT" "BCA" 5.633575e-02 1.259080e-02 7.545601e-01 1.394673e-01 3.446328e-02 2.582728e-03
"mansfield" "HYPO" "BCA" 1.646489e-02 2.066990e-01 4.943503e-01 1.992736e-01 8.305085e-02 1.614205e-04
"nigel" "BASE" "BCA" 8.716707e-03 1.553672e-01 5.007264e-01 3.010492e-01 3.325262e-02 8.878128e-04
"nigel" "FIBRE" "BCA" 6.295400e-03 1.057304e-02 9.334948e-01 3.163842e-02 1.767554e-02 3.228410e-04
"nigel" "WASHOUT" "BCA" 4.511703e-02 8.571429e-02 4.964487e-01 2.600484e-01 1.112994e-01 1.372074e-03
"nigel" "HYPO" "BCA" 1.070218e-01 4.067797e-02 6.733656e-01 1.457627e-01 3.309120e-02 8.071024e-05
"promise" "BASE" "BCA" 4.600484e-03 4.502018e-01 2.837772e-01 1.987893e-01 6.222760e-02 4.035514e-04
"promise" "FIBRE" "BCA" 9.120258e-03 3.577885e-01 4.008071e-01 1.807103e-01 5.068604e-02 8.878129e-04
"promise" "WASHOUT" "BCA" 3.656174e-02 2.281679e-01 3.445521e-01 2.806295e-01 1.096852e-01 4.035513e-04
"promise" "HYPO" "BCA" 3.389831e-02 6.408394e-02 7.372074e-01 1.435028e-01 2.114609e-02 1.614206e-04
"spitster" "BASE" "BCA" 6.779661e-03 3.506860e-01 3.092010e-01 2.459241e-01 8.730920e-02 1.000000e-04
"spitster" "FIBRE" "BCA" 1.702986e-02 2.164649e-01 6.693301e-01 5.819209e-02 3.888305e-02 1.000000e-04
"spitster" "WASHOUT" "BCA" 5.004036e-02 1.249395e-01 6.146086e-01 1.485876e-01 6.069411e-02 1.129944e-03
"spitster" "HYPO" "BCA" 3.518967e-02 3.575464e-02 8.602098e-01 6.384181e-02 4.842615e-03 1.614206e-04
